row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
_chr9_000791,3195.09622096281,-9.35971922811344,0.262329180253568,-35.6792912594257,8.28281394914714e-279,2.17829724048621e-274
_chr4_001587,2638.68673966964,8.15375955745995,0.265020553733596,30.7665177005715,7.35309717423714e-208,9.66895512926312e-204
_chr1_001845,2312.17171833321,8.07093657383768,0.278942140133059,28.9340885173812,4.45004950547194e-184,3.90106173148022e-180
_chr1_001847,2394.66866452009,9.52527679649894,0.365884330684803,26.0335739950139,2.06481976249674e-149,1.35756737334754e-145
_chr4_001815,2050.23007374921,9.56744560069079,0.385670168026749,24.8073260362394,7.47311074871495e-136,3.93070679160909e-132
_chr5_002119,2509.41182607879,-11.4313135629499,0.503660774280001,-22.6964539362656,4.85620845988836e-114,2.12855710477673e-110
_chr12_004500,764.325877683987,2.27523242568178,0.100975103628888,22.532607978734,1.98894511882272e-112,7.47246681141697e-109
_chr1_002826,796.410801950231,6.53075400072371,0.295454641002373,22.1040833156899,2.88738250725409e-108,9.4919090697844e-105
_chr8_000749,969.43341838442,7.3496286538854,0.337313486526975,21.7887186473276,2.96840722759163e-105,8.67401574204803e-102
_chr1_002827,902.076072838287,8.58386518639322,0.394109059108283,21.7804310456989,3.55710228200246e-105,9.35482329143827e-102
_chr2_002473,1212.61119901607,-6.7226652206098,0.309202054725003,-21.7419810699149,8.22701798209203e-105,1.96693041737307e-101
_chr10_000135,1507.59385121399,-7.83725624342911,0.393593381940458,-19.912063065671,3.19867579888078e-88,7.01016456956381e-85
_chr12_002907,820.019135865907,-3.02134154641727,0.154705120556959,-19.5296803075427,6.1422727276511e-85,1.24258177280382e-81
_chr4_000971,1216.69729929492,9.54334556836823,0.491964502930294,19.3984434070448,7.9543607133362e-84,1.49422666000021e-80
_chr7_001851,405.42123597193,-7.92969927233797,0.410956089992107,-19.2957336938121,5.83310781829777e-83,1.02269935008942e-79
_chr8_002488,387.02864922009,6.57309636562765,0.343504738338448,19.1353877603613,1.28122519429542e-81,2.10593383654846e-78
_chr4_001123,412.820888441449,7.16536477820235,0.375635991237221,19.0752881655509,4.05182974455297e-81,6.26818061482345e-78
_chr9_000366,2511.15486005616,-12.3080739745706,0.647876279157908,-18.9975684718204,1.78630513122933e-80,2.6098910359e-77
_chr12_000250,2541.72964848939,2.10275284719449,0.111650900309961,18.833281606838,4.02996466106402e-79,5.57810740112224e-76
_chr12_003748,1800.47330081809,1.18799722887256,0.0646898169281852,18.3645167861799,2.5268877655735e-75,3.32273106734088e-72
_chr10_002719,1062.92585479742,-4.7487214830383,0.261031191712909,-18.1921610665636,5.9545374913651e-74,7.45706578501956e-71
_chr4_001590,292.434917776613,6.03512799269032,0.332177888760609,18.1683615824281,9.19018120036976e-74,1.09860261540238e-70
_chr12_000071,323.147890121632,2.69016962648786,0.150145195735104,17.917120912973,8.67006736872851e-72,9.91365659696483e-69
_chr7_001115,3547.470160102,-10.7867484408239,0.605791621857471,-17.8060376730694,6.34453816800971e-71,6.95229205335364e-68
_chr12_004828,3012.82390060056,1.66270340015754,0.0934279733222955,17.7966335031348,7.50467454027879e-71,7.89461742939168e-68
_chr12_000107,851.9662700488,1.84291707793785,0.104322194707624,17.6656279433429,7.71494936242133e-70,7.80367128008918e-67
_chr12_005068,2400.02074106709,2.16806758844084,0.122900520660603,17.6408332266392,1.19683114420827e-69,1.16575786153827e-66
_chr3_000804,576.792424370719,5.7940136841556,0.333391009658541,17.3790339760206,1.18940171489306e-67,1.11714556071331e-64
_chr4_001607,2102.61894401505,11.1874958023769,0.652047641927202,17.1574821884348,5.52577937867737e-66,5.01111971999435e-63
_chr12_000069,324.248006410503,2.94797233544773,0.175320359317316,16.8147746612368,1.9021446043881e-63,1.66748336502676e-60
_chr12_004632,1367.43074567905,3.08606514257673,0.183952549962571,16.7764194799401,3.6307814270683e-63,3.08019099195062e-60
_chr2_002470,479.95825497666,-3.14553661189577,0.191537462405249,-16.422565969056,1.31870118723255e-60,1.08376632884465e-57
_chr1_001841,355.796236614113,6.99679016446022,0.429520327549303,16.2897765616392,1.16654637152414e-59,9.29666758324647e-57
_chr11_000991,440.123957281567,-7.40503282866805,0.454989665887443,-16.2751670726955,1.48114696574598e-59,1.14566717800451e-56
_chr12_004871,914.17266804657,2.05223760693764,0.126890141825484,16.1733415804684,7.77636332376715e-59,5.84315940147863e-56
_chr12_004860,1269.10250154306,1.90632462503845,0.120312490694441,15.8447773297285,1.52761141201991e-56,1.11596257013088e-53
_chr4_001291,604.128989426707,-6.58841101856702,0.42114116613017,-15.6441866728617,3.6398992615487e-55,2.58718136971538e-52
_chr12_000302,1197.90933359084,1.27186707566007,0.0813345139608244,15.6374829543173,4.04399445264297e-55,2.79876342394888e-52
_chr12_003693,1188.39471329735,1.53020016459945,0.0993997295220287,15.3944097429393,1.78445394864266e-53,1.20331677936803e-50
_chr12_005032,1021.30201085247,2.06654912395411,0.134363407694769,15.3802970571322,2.21927133401698e-53,1.45911542033281e-50
_chr11_001018,1836.84875081761,-8.27879386128037,0.538354105718836,-15.3779710665086,2.30044049990524e-53,1.47559230992702e-50
_chr12_000282,2153.06647399085,1.80004618242992,0.118612452919281,15.1758617086766,5.11021859724113e-52,3.19984854497249e-49
_chr12_003798,7527.14462193082,1.49456169297475,0.0987826389107161,15.1298012429654,1.03006033002336e-51,6.29989688820568e-49
